,tag,name,attribute description,type,vm,vr
0,"(0024, 0306)",DataSetName,The name assigned to the data set.,1,1.0,LO
1,"(0024, 0307)",DataSetVersion,The software version identifier assigned to the data set.,1,1.0,LO
2,"(0024, 0308)",DataSetSource,"Source of the data set e.g. the name of the manufacturer, researcher, university, etc.",1,1.0,LO
3,"(0024, 0309)",DataSetDescription,Description of the data set.,3,1.0,LO
4,"(0066, 002F)",AlgorithmFamilyCodeSequence,"The family of algorithm(s) that best describes the software algorithm used. 
Only one item shall be permitted in the sequence.",1,1.0,SQ
5,"(0066, 0030)",AlgorithmNameCodeSequence,"The code assigned by a manufacturer to a specific software algorithm. 
Only one item shall be permitted in the sequence.",3,1.0,SQ
6,"(0066, 0036)",AlgorithmName,The name assigned by a manufacturer to a specific software algorithm.,1,1.0,LO
7,"(0066, 0031)",AlgorithmVersion,The software version identifier assigned by a manufacturer to a specific software algorithm.,1,1.0,LO
8,"(0066, 0032)",AlgorithmParameters,The input parameters used by a manufacturer to configure the behavior of a specific software algorithm.,3,1.0,LT
9,"(0024, 0202)",AlgorithmSource,"Source of the algorithm, e.g., the name of the manufacturer, researcher, university, etc.",3,1.0,LO
10,"(0020, 0060)",Laterality,"Laterality of (paired) body part examined. Required if the body part examined is a paired structure and Image Laterality (0020, 0062) or Frame Laterality (0020, 9072) are not sent. Enumerated Values:
R = right
L = left
Note: Some IODs support Image Laterality (0020, 0062) at the Image level or Frame Laterality (0020, 9072) at the Frame level in the Frame Anatomy functional group macro or Measurement Laterality (0024, 0113) at the Measurement level, which can provide a more comprehensive mechanism for specifying the laterality of the body part(s) being examined.",2C,1.0,CS
11,"(0008, 0060)",Modality,"Type of equipment that originally acquired the data used to create the measurements in this Series.
Enumerated Values:
OPV
See section C.7.3.1.1.1 for further explanation.",1,1.0,CS
12,"(0008, 1111)",ReferencedPerformedProcedureStepSequence,"Uniquely identifies the Performed Procedure Step SOP Instance to which the Series is related (e.g. a Modality or General-Purpose Performed Procedure Step SOP Instance).
Only a single Item shall be permitted in this sequence.
Required if the Modality Performed Procedure Step SOP Class, or General Purpose Performed Procedure Step SOP Class is supported.",1C,1.0,SQ
13,"(0040, 0275)",RequestAttributesSequence,"Sequence that contains attributes from the Imaging Service Request.
The sequence may have one or more Items.",3,1.0,SQ
14,"(0024, 0010)",VisualFieldHorizontalExtent,"The maximum horizontal angular subtend (diameter or width) of the tested visual field, in degrees.",1,1.0,FL
15,"(0024, 0011)",VisualFieldVerticalExtent,"The maximum vertical angular subtend (diameter or height) of the tested visual field, in degrees.",1,1.0,FL
16,"(0024, 0012)",VisualFieldShape,"The shape of the visual field tested.
Defined Terms:
RECTANGLE
CIRCLE
ELLIPSE",1,1.0,CS
